category_id,total_views,like_rate,comment_rate
10.0,224120215467.0,0.04127803313899367,0.003438087508558253
24.0,70366073602.0,0.025866976933175856,0.0037612852490377887
1.0,20345832303.0,0.02701418575413045,0.003671902212725319
22.0,14187811011.0,0.03790294421296584,0.0059533374664381125
23.0,13269495521.0,0.04869671889471215,0.0058567624497182485
17.0,10090001354.0,0.0184470351928657,0.0030245756902849
26.0,6501373503.0,0.044380338709358765,0.005877427252401215
28.0,6223514468.0,0.045690840307784676,0.008711528392322006
25.0,5802695592.0,0.017625734653161175,0.0054017174618233585
20.0,4558951265.0,0.03939132049029827,0.006869280938384248
27.0,1821787115.0,0.04598634356848104,0.006071686249401677
15.0,1443176969.0,0.041321604006301194,0.005888749834344929
2.0,1172335649.0,0.04282478562028095,0.006401674193022622
29.0,815780913.0,0.04475730358369271,0.010152379318358136
19.0,515463339.0,0.033331933127062015,0.006404729509811004
43.0,252242370.0,0.016591048101018982,0.0029106749005323646
30.0,49140069.0,0.018216661175839956,0.0010128699429552098
