country,category_name,n_snapshots,avg_views,median_views,avg_like_rate,avg_comment_rate,avg_persistence
GB,Music,13698,12440810.595634399,2979229.0,0.03828997199625649,0.0030229695441117187,22.095123375675282
GB,Nonprofits & Activism,90,3919980.688888889,672604.0,0.04087966425674521,0.008005290407633535,22.177777777777777
GB,Entertainment,9055,3270544.7082274985,783747.0,0.03024108982121561,0.004626521592757812,16.9436775262286
GB,Film & Animation,2564,3242571.391575663,1143910.0,0.026870812336353952,0.00417820608569647,19.2304992199688
GB,Science & Technology,516,3158529.3643410853,708019.0,0.02713352598512499,0.004793315623011937,16.608527131782946
GB,Comedy,1819,2164422.583837273,1276837.0,0.036439291171001406,0.0046208917846269106,15.356789444749863
GB,People & Blogs,2923,1965383.5237769415,320455.0,0.03932095963474206,0.005434320062516067,15.471775573041397
GB,Sports,1903,1754049.2149238046,343861.0,0.016772044838936573,0.003178467926161794,13.896479243300053
GB,Autos & Vehicles,144,1487392.4583333333,1044150.0,0.018626533265861858,0.004462421716933999,12.458333333333334
GB,Shows,20,1429164.15,1498767.5,0.029920686864800834,0.0028950980498454234,21.0
GB,Travel & Events,96,1383177.0104166667,218176.0,0.04260301753868249,0.004877692250151176,11.270833333333334
GB,News & Politics,1218,1139425.301313629,228477.5,0.021023207744507284,0.008648760916167222,13.336617405582922
GB,Pets & Animals,533,1009746.3433395872,564905.0,0.031962646998784115,0.003079296634740724,16.666041275797372
GB,Gaming,1778,980048.3008998875,309154.5,0.03301372222343025,0.006663894766876218,14.047244094488189
GB,Education,457,972189.4026258206,402504.0,0.038604255301719875,0.006717168368929813,16.2253829321663
GB,Howto & Style,1928,617300.4289419088,263412.0,0.04361577474495976,0.0048804287525713325,15.063278008298756
IN,Gaming,52,3781228.019230769,2068993.0,0.03754293242424521,0.0037883016822323565,3.230769230769231
IN,Movies,10,3191953.0,2906235.5,0.016484785769361125,0.0008702070671356716,6.8
IN,Music,3171,2430404.2160201827,791486.0,0.02570787264178369,0.0017237368173299993,5.425417849258909
IN,Film & Animation,1430,2154273.251048951,638618.0,0.01932700287150043,0.001718293228782145,4.648251748251749
IN,Sports,632,1743118.210443038,638059.0,0.01380161481483841,0.0011349297891042303,3.2974683544303796
IN,Pets & Animals,3,1626581.0,2244679.0,0.05392569152931448,0.006208233919901984,63.333333333333336
IN,Entertainment,14511,871318.3155537179,247452.0,0.015980747728714818,0.0017540003032831524,3.7765143684101714
IN,Science & Technology,510,847719.7039215686,292448.0,0.07783533248973903,0.02614122265068962,2.2372549019607844
IN,Howto & Style,793,845686.5977301387,253013.0,0.014989880514509498,0.002307810250977977,2.360655737704918
IN,Comedy,2878,800453.9947880473,439437.5,0.05351400905818829,0.00484178244636705,3.985059068797776
IN,Shows,147,665767.5578231292,620555.0,0.00626131019370065,0.0010525266044597462,2.795918367346939
IN,People & Blogs,2338,483428.624893071,233744.0,0.01654620802480001,0.0018062466486198025,3.0889649272882806
IN,Autos & Vehicles,69,383178.3188405797,183366.0,0.02142479186009521,0.0038605158657144044,2.7681159420289854
IN,News & Politics,4649,350656.5941062594,174110.0,0.008433301625949316,0.001704490200435226,3.621423962142396
IN,Travel & Events,8,171792.75,189713.0,0.01631654754062795,0.001580651721788953,2.25
IN,Education,1154,113680.77123050259,50872.0,0.05307555850779778,0.006666847128311938,2.3128249566724435
IN,Nonprofits & Activism,103,62847.59223300971,49558.0,0.033590296428045216,0.0012464487051421387,1.8155339805825244
JP,Science & Technology,106,809469.4528301887,77096.0,0.015321941500850944,0.0035890193892358815,1.349056603773585
JP,Music,916,677469.2412663755,67234.5,0.057489025109676406,0.005787745496985547,2.2532751091703056
JP,Comedy,487,382404.8336755647,144920.0,0.01979995275294968,0.003964106229542134,1.5605749486652978
JP,Sports,1500,274525.12533333333,67395.5,0.00806517070217447,0.0020206143002131065,1.962
JP,Entertainment,4359,269234.9589355357,75737.0,0.018452449831557714,0.0033749486191918415,1.7630190410644644
JP,Film & Animation,852,253479.6866197183,53546.0,0.014989735388072713,0.002722455853048639,1.6901408450704225
JP,Gaming,702,165489.85042735044,65251.0,0.018695277676946485,0.004224842291121999,1.8433048433048433
JP,People & Blogs,2793,136339.66809881848,31167.0,0.014889103657032176,0.002614609501239644,1.903687790905836
JP,News & Politics,1011,125139.40059347182,32211.0,0.010618102362778848,0.002554081217083543,2.016815034619189
JP,Howto & Style,570,123395.7649122807,41883.0,0.02322926956213083,0.004318336740512134,1.8596491228070176
JP,Travel & Events,90,107051.41111111111,91947.0,0.012819735077055566,0.0032775766925961414,1.3111111111111111
JP,Nonprofits & Activism,13,105478.76923076923,60250.0,0.020766896554948396,0.005435605051154666,1.0
JP,Education,87,83444.64367816092,11761.0,0.021865433744920625,0.0027526330955518446,1.1149425287356323
JP,Autos & Vehicles,227,75309.67400881057,11519.0,0.013437540941493974,0.0028669145442727717,1.9691629955947136
